position_id,party_id,statement_id,position_label,position_numeric,source_type,text_snippet,source_link
IEP0082,IF,10,Completely agree,2,Other programmatic and official party documentation,"Self-placement: There are so many options available in 2024, the need for surgical abortion should be extremely rare. Additional: ""At Ireland First, we hold a pro-life stance on a sensitive issue that demands careful consideration. We recognise that previous referendums did not provide a comprehensive resolution on this matter. We firmly advocate for a referendum that allows for a thorough examination of the subject, including the exploration of potential strict restrictions.""",https://ireland-first.ie/principles/
IEP0083,IF,11,Completely agree,2,Other programmatic and official party documentation,"Self-placement: Immigration policy should be decided solely to benefit the Irish people Additional: the non-Irish population does not exceed 10%. Unfortunately, government corruption has allowed this threshold to be surpassed, and we seek to address this issue.",https://ireland-first.ie/principles/
IEP0084,IF,12,Completely disagree,-2,Other programmatic and official party documentation,Self-placement: The best person for the job should get the job!,
IEP0085,IF,13,Completely disagree,-2,,"Self-placement: If public transport is made more accesible, taxes won't be needed. Taxes can't be crutch for poor services. Additional: the harsh climate laws enforced on us by our Government are completely unnecessary. We need to roll back on the destructive climate policies and abolish carbon tax. We also vehemently oppose the idea of “15-minute cities”.",https://ireland-first.ie/our-policies/
IEP0086,IF,14,Completely disagree,-2,Other programmatic and official party documentation,"Self-placement: Nuclear energy is much more efficient Additional: In so far as we can, we aim to be self-sustainable by utilising our natural resources such as oil, gas, turf, wood etc. We should have a national discussion on the viability of nuclear energy and/or wave energy. The harsh climate laws enforced on us by our Government are completely unnecessary. We will put a stop on any further data centres which use 30% of national energy.",https://ireland-first.ie/our-policies/
IEP0087,IF,15,Completely disagree,-2,Other programmatic and official party documentation,Self-placement: This just serves as draw to Ireland. Additional: not funding a welfare system for the rest of the planet.,https://ireland-first.ie/our-policies/
IEP0088,IF,16,Tend to agree,1,Other programmatic and official party documentation,We recognise the need to rectify contradictory laws that often impose disproportionate penalties for minor offenses compared to more serious crimes. Our goal is to rebalance these discrepancies and promote a just and proportionate approach to law enforcement.,https://ireland-first.ie/our-policies/
IEP0089,IF,17,No opinion,,,,
IEP0090,IF,18,Completely disagree,-2,Other programmatic and official party documentation,Additional: Ireland needs to leave the EU and regain our national and fiscal sovereignty in order to be truly independent,https://ireland-first.ie/our-policies/
IEP0091,IF,19,Tend to agree,1,Other programmatic and official party documentation,Additional: Ireland needs to leave the EU and regain our national and fiscal sovereignty in order to be truly independent,https://ireland-first.ie/our-policies/
